genus	action
Acanthognathus	split_biogeo
Acanthomyrmex	split_biogeo
Acanthoponera	split_biogeo
Acanthostichus	split_biogeo
Acromyrmex	split_biogeo
Acropyga	split_biogeo
Adelomyrmex	split_biogeo
Adetomyrma	split_biogeo
Aenictogiton	split_biogeo
Aenictus	split_biogeo
Agraulomyrmex	split_biogeo
Alfaria	split_biogeo
Alloformica	split_biogeo
Allomerus	split_biogeo
Amblyopone	split_biogeo
Amoimyrmex	split_biogeo
Ancyridris	split_biogeo
Anillidris	split_biogeo
Anillomyrma	split_biogeo
Anochetus	split_biogeo
Anonychomyrma	split_biogeo
Anoplolepis	split_biogeo
Aphaenogaster	split_biogeo
Apterostigma	split_biogeo
Aretidris	split_biogeo
Arnoldius	split_biogeo
Asphinctopone	split_biogeo
Atopomyrmex	split_biogeo
Atta	split_biogeo
Aulacopone	split_biogeo
Austromorium	split_biogeo
Austroponera	split_biogeo
Axinidris	split_biogeo
Azteca	split_biogeo
Bajcaridris	split_biogeo
Baracidris	split_biogeo
Basiceros	split_biogeo
Blepharidatta	split_biogeo
Boloponera	split_biogeo
Boltonopone	split_biogeo
Bondroitia	split_biogeo
Bothriomyrmex	split_biogeo
Bothroponera	split_biogeo
Brachymyrmex	split_biogeo
Brachyponera	split_biogeo
Bregmatomyrma	split_biogeo
Calomyrmex	split_biogeo
Calyptomyrmex	split_biogeo
Camponotus	split_biogeo
Cardiocondyla	split_biogeo
Carebara	split_biogeo
Cataglyphis	split_biogeo
Cataulacus	split_biogeo
Centromyrmex	split_biogeo
Cephalotes	split_biogeo
Cerapachys	split_biogeo
Chelaner	split_biogeo
Cheliomyrmex	split_biogeo
Chimaeridris	split_biogeo
Chronoxenus	split_biogeo
Chrysapace	split_biogeo
Cladomyrma	split_biogeo
Colobopsis	split_biogeo
Colobostruma	split_biogeo
Crematogaster	split_biogeo
Cryptomyrmex	split_biogeo
Cryptopone	split_biogeo
Cylindromyrmex	split_biogeo
Cyphoidris	split_biogeo
Cyphomyrmex	split_biogeo
Dacetinops	split_biogeo
Daceton	split_biogeo
Diacamma	split_biogeo
Dicroaspis	split_biogeo
Dilobocondyla	split_biogeo
Dinoponera	split_biogeo
Discothyrea	split_biogeo
Doleromyrma	split_biogeo
Dolichoderus	split_biogeo
Dorylus	split_biogeo
Dorymyrmex	split_biogeo
Eburopone	split_biogeo
Echinopla	split_biogeo
Eciton	split_biogeo
Ecphorella	split_biogeo
Ectatomma	split_biogeo
Ectomomyrmex	split_biogeo
Emeryopone	split_biogeo
Epopostruma	split_biogeo
Euprenolepis	split_biogeo
Eurhopalothrix	split_biogeo
Eusphinctus	split_biogeo
Fisheropone	split_biogeo
Forelius	split_biogeo
Formica	split_biogeo
Formicoxenus	split_biogeo
Formosimyrma	split_biogeo
Fulakora	split_biogeo
Gaoligongidris	split_biogeo
Gauromyrmex	split_biogeo
Gesomyrmex	split_biogeo
Gnamptogenys	split_biogeo
Goniomma	split_biogeo
Harpagoxenus	split_biogeo
Harpegnathos	split_biogeo
Heteroponera	split_biogeo
Holcoponera	split_biogeo
Hylomyrma	split_biogeo
Hypoponera	split_biogeo
Igaponera	split_biogeo
Indomyrma	split_biogeo
