tip reason
Igaponera_sp code_like_or_placeholder_scaffold_taxon
Lividopone_MG code_like_or_placeholder_scaffold_taxon
Eusphinctus_TH code_like_or_placeholder_scaffold_taxon
Eburopone_UG code_like_or_placeholder_scaffold_taxon
Eburopone_MG code_like_or_placeholder_scaffold_taxon
Eburopone_CM02 code_like_or_placeholder_scaffold_taxon
Aenictogiton_ZM02 code_like_or_placeholder_scaffold_taxon
Aenictogiton_UG code_like_or_placeholder_scaffold_taxon
Ecphorella_sp code_like_or_placeholder_scaffold_taxon
Arnoldius_AU01 code_like_or_placeholder_scaffold_taxon
Anillidris_sp code_like_or_placeholder_scaffold_taxon
Alloformica_sp code_like_or_placeholder_scaffold_taxon
Bregmatomyrma_sp code_like_or_placeholder_scaffold_taxon
Uwari_sp code_like_or_placeholder_scaffold_taxon
Aulacopone_sp code_like_or_placeholder_scaffold_taxon
Formosimyrma_sp code_like_or_placeholder_scaffold_taxon
Dicroaspis_KM01 code_like_or_placeholder_scaffold_taxon
Recurvidris_MM01 code_like_or_placeholder_scaffold_taxon
Recurvidris_TH01 code_like_or_placeholder_scaffold_taxon
Peronomyrmex_sp code_like_or_placeholder_scaffold_taxon
Secostruma_MY01 code_like_or_placeholder_scaffold_taxon
Gaoligongidris_sp code_like_or_placeholder_scaffold_taxon
Lasiomyrma_IN01 code_like_or_placeholder_scaffold_taxon
Paratopula_TH01 code_like_or_placeholder_scaffold_taxon
Bondroitia_sp code_like_or_placeholder_scaffold_taxon
Unicumyrmex_sp code_like_or_placeholder_scaffold_taxon
Ishakidris_sp code_like_or_placeholder_scaffold_taxon
Pseudoatta_sp code_like_or_placeholder_scaffold_taxon
Chimaeridris_sp code_like_or_placeholder_scaffold_taxon
